节点ID,节点名称,节点类型,是否核心类型,所有标签,所属社区,度数,加权度数,入度,出度,加权入度,加权出度,聚类系数,邻居节点数,邻居社区分布
LE098830,第四章,Chapter,否,Chapter,1,19,3.8,1,18,0.2,3.6,0.0,19,社区1:19
LE890407,《中华人民共和国广告法》,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE714528,第十五条,Section,否,Section,1,3,0.5,1,2,0.2,0.3,0.05,3,社区1:3
LE425723,第三十三条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE964512,平台经营者,AdvantageHolder,否,AdvantageHolder,1,8,2.35,5,3,1.05,1.3,0.0363,8,社区1:8
LE352206,本法第十一条规定,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE298026,处一百万元以下的罚款,PunishmentMeasure,否,PunishmentMeasure,1,3,0.45,3,0,0.45,0.0,0.126,3,社区1:3
LE219547,第三十二条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE810444,第十八条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE769043,第二十八条,Section,否,Section,1,3,0.5,1,2,0.2,0.3,0.0,3,社区1:3
LE821442,本法规定,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE294850,本法第十四条规定,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE989981,受交易相对方委托办理相关事务的单位或者个人,DisadvantageHolder,否,DisadvantageHolder,1,2,0.3,2,0,0.3,0.0,0.15,2,社区1:2
LE424039,第四条,Section,否,Section,1,3,0.5,1,2,0.2,0.3,0.0,3,社区1:3
LE274499,第二章,Chapter,否,Chapter,1,10,2.0,1,9,0.2,1.8,0.0,10,社区1:10
LE571295,第二十条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE570558,进行有奖销售,Action,是,Action,1,1,1.0,1,0,1.0,0.0,0.0,1,社区1:1
LE190156,侵犯商业秘密,Action,是,Action,1,2,2.0,2,0,2.0,0.0,0.0,2,社区1:2
LE218256,第三十七条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE455927,责令停止违法行为,PunishmentMeasure,否,PunishmentMeasure,1,2,0.3,2,0,0.3,0.0,0.189,2,社区1:2
LE236237,第三十条,Section,否,Section,1,4,0.65,1,3,0.2,0.45,0.0565,4,社区1:4
LE049902,对其商品作虚假或者引人误解的商业宣传,Action,是,Action,1,1,1.0,1,0,1.0,0.0,0.0,1,社区1:1
LE298831,第六条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE876960,第七条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE826911,处十万元以上一百万元以下的罚款,PunishmentMeasure,否,PunishmentMeasure,1,3,0.45,3,0,0.45,0.0,0.126,3,社区1:3
LE152672,第二十六条,Section,否,Section,1,4,0.65,1,3,0.2,0.45,0.063,4,社区1:4
LE624980,县级以上人民政府履行市场监督管理职责的部门,RegulatoryAuthority,否,RegulatoryAuthority,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE420762,县级以上人民政府监督检查部门,RegulatoryAuthority,否,RegulatoryAuthority,1,2,0.45,1,1,0.15,0.3,0.189,2,社区1:2
LE754008,第一章,Chapter,否,Chapter,1,7,1.4,1,6,0.2,1.2,0.0,7,社区1:7
LE958511,处五万元以上五十万元以下的罚款,PunishmentMeasure,否,PunishmentMeasure,1,3,0.45,3,0,0.45,0.0,0.126,3,社区1:3
LE387882,监督检查部门,RegulatoryAuthority,否,RegulatoryAuthority,1,41,6.6,17,24,2.55,4.05,0.003,41,社区1:41
LE217846,第三十九条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE198988,本法第十五条规定,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE073988,第十九条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE827188,第三十八条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE284372,平台内经营者,DisadvantageHolder,否,DisadvantageHolder,1,4,0.6,4,0,0.6,0.0,0.075,4,社区1:4
LE013892,责令改正,PunishmentMeasure,否,PunishmentMeasure,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE639591,第二十一条,Section,否,Section,1,4,0.65,1,3,0.2,0.45,0.0565,4,社区1:4
LE919214,第三十六条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE736535,设区的市级以上人民政府监督检查部门,RegulatoryAuthority,否,RegulatoryAuthority,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE270957,省级以上人民政府监督检查部门,RegulatoryAuthority,否,RegulatoryAuthority,1,4,0.75,1,3,0.15,0.6,0.063,4,社区1:4
LE763063,第十七条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE387334,依法给予处分,PunishmentMeasure,否,PunishmentMeasure,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE421496,第十二条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE963502,国务院,RegulatoryAuthority,否,RegulatoryAuthority,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE456442,对个人可以处一万元以下的罚款,PunishmentMeasure,否,PunishmentMeasure,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE497105,第十一条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE638762,本法,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE102480,利用职权或者影响力影响交易的单位或者个人,DisadvantageHolder,否,DisadvantageHolder,1,2,0.3,2,0,0.3,0.0,0.15,2,社区1:2
LE461642,第二十七条,Section,否,Section,1,3,0.5,1,2,0.2,0.3,0.063,3,社区1:3
LE607714,第三十五条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE195028,第三十四条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE486959,第九条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE867585,人民法院,RegulatoryAuthority,否,RegulatoryAuthority,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE874226,第三章,Chapter,否,Chapter,1,7,1.4,1,6,0.2,1.2,0.0,7,社区1:7
LE756202,第二条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE235126,应当在平台服务协议和交易规则中明确平台内公平竞争规则,Action,是,Action,1,1,1.0,1,0,1.0,0.0,0.0,1,社区1:1
LE704542,第二十四条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE495687,第一条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE303789,没收违法所得,PunishmentMeasure,否,PunishmentMeasure,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE475622,第十三条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE403641,第十四条,Section,否,Section,1,3,0.5,1,2,0.2,0.3,0.05,3,社区1:3
LE416035,第四十条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE061403,中小企业,DisadvantageHolder,否,DisadvantageHolder,1,2,0.3,2,0,0.3,0.0,0.15,2,社区1:2
LE237378,本法第十二条规定,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE200593,第五条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE676791,本法第十条规定,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE011652,第十六条,Section,否,Section,1,3,0.5,1,2,0.2,0.3,0.0,3,社区1:3
LE671671,不得对其商品的性能、功能、质量、销售状况、用户评价、曾获荣誉等作虚假或者引人误解的商业宣传,Action,是,Action,1,1,1.0,1,0,1.0,0.0,0.0,1,社区1:1
LE891036,第十条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE937066,第二十二条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE178619,其他经营者,DisadvantageHolder,否,DisadvantageHolder,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE734353,第五章,Chapter,否,Chapter,1,3,0.6,1,2,0.2,0.4,0.0,3,社区1:3
LE881968,第三条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE214624,第六条,Section,否,Section,5,2,0.35,1,1,0.2,0.15,0.0,2,社区5:2
LE609055,资金优势,Advantage,否,Advantage,8,7,4.25,7,0,4.25,0.0,0.1492,7,社区3:1; 社区8:6
LE953469,第七章,Chapter,否,Chapter,5,2,0.4,1,1,0.2,0.2,0.0,2,社区5:2
LE207376,第四十五条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE773058,第七条,Section,否,Section,5,4,0.65,1,3,0.2,0.45,0.0,4,社区5:4
LE174668,第三十条,Section,否,Section,3,1,0.2,1,0,0.2,0.0,0.0,1,社区3:1
LE074201,中国证监会,RegulatoryAuthority,否,RegulatoryAuthority,5,22,5.1,8,14,1.2,3.9,0.0121,22,社区0:2; 社区2:8; 社区3:3; 社区4:1; 社区5:8
LE095952,第九章,Chapter,否,Chapter,5,5,1.0,1,4,0.2,0.8,0.0,5,社区5:5
LE713783,能够实际管理、使用或处分的他人账户,Account,否,Account,3,1,0.15,1,0,0.15,0.0,0.0,1,社区3:1
LE138783,第五十五条,Section,否,Section,5,3,0.5,1,2,0.2,0.3,0.063,3,社区3:1; 社区5:2
LE944958,其他市场操作,Means,是,Means,5,3,3.0,3,0,3.0,0.0,0.0,3,社区5:3
LE706853,第三十六条,Section,否,Section,9,5,0.8,1,4,0.2,0.6,0.0,5,社区3:1; 社区9:4
LE063646,第四十一条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE308392,直接负责的主管人员,Actor,否,Actor,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE990638,证券咨询机构,Actor,否,Actor,9,6,3.45,3,3,0.45,3.0,0.0,6,社区9:6
LE691670,影响证券交易价格或交易量,Influence,否,Influence,3,5,4.75,5,0,4.75,0.0,0.0,5,社区3:5
LE073356,其他市场参与人,Actor,否,Actor,5,4,2.45,2,2,0.45,2.0,0.0315,4,社区5:4
LE693755,事先约定的时间、价格和方式相互进行证券交易,Means,是,Means,8,2,1.95,1,1,1.0,0.95,0.0,2,社区3:1; 社区8:1
LE362174,回购股份,Means,是,Means,5,3,3.0,3,0,3.0,0.0,0.0,3,社区5:3
LE352249,散布不真实、不准确、不完整或不确定的重大信息,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE294184,第十九条,Section,否,Section,3,4,0.65,1,3,0.2,0.45,0.063,4,社区2:1; 社区3:2; 社区5:1
LE840683,第四条,Section,否,Section,5,3,0.5,1,2,0.2,0.3,0.0,3,社区2:1; 社区5:2
LE305887,第十一条,Section,否,Section,5,2,0.35,1,1,0.2,0.15,0.0,2,社区5:1; 社区9:1
LE967512,证券市场操纵行为认定指引,Title,否,Title,5,9,1.8,0,9,0.0,1.8,0.0,9,社区3:1; 社区5:8
LE170538,第三条,Section,否,Section,5,1,0.2,1,0,0.2,0.0,0.0,1,社区5:1
LE560397,第十八条,Section,否,Section,3,3,0.5,1,2,0.2,0.3,0.0,3,社区3:3
LE578096,第二十条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE463876,第五十一条,Section,否,Section,5,1,0.2,1,0,0.2,0.0,0.0,1,社区5:1
LE194901,受托人,Actor,否,Actor,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE113739,第十三条,Section,否,Section,3,1,0.2,1,0,0.2,0.0,0.0,1,社区3:1
LE882651,致使证券交易价格上涨,Influence,否,Influence,3,4,3.8,4,0,3.8,0.0,0.0,4,社区3:4
LE355191,第八条,Section,否,Section,5,2,0.35,1,1,0.2,0.15,0.0,2,社区5:2
LE676858,第四十条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE006567,第四十六条,Section,否,Section,3,1,0.2,1,0,0.2,0.0,0.0,1,社区3:1
LE464629,第四十九条,Section,否,Section,5,2,0.35,1,1,0.2,0.15,0.0,2,社区3:1; 社区5:1
LE486200,影响其他证券品种的交易价格或者交易量,Influence,否,Influence,3,1,0.95,1,0,0.95,0.0,0.0,1,社区3:1
LE442637,打压,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE789135,第二条,Section,否,Section,5,2,0.35,1,1,0.2,0.15,0.0,2,社区3:1; 社区5:1
LE342202,上市公司控股股东,Actor,否,Actor,5,4,2.45,2,2,0.45,2.0,0.0315,4,社区5:4
LE362813,锁定证券交易价格,Means,是,Means,3,3,2.9,1,2,1.0,1.9,0.0,3,社区3:3
LE537454,第二十二条,Section,否,Section,8,3,0.5,1,2,0.2,0.3,0.0,3,社区3:1; 社区8:2
LE309592,通过拉抬、打压或锁定手段,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE304864,洗售操纵,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE584877,证券公司,Actor,否,Actor,9,7,3.6,4,3,0.6,3.0,0.0,7,社区5:1; 社区9:6
LE345150,不以成交为目的的频繁申报和撤销申报,Means,是,Means,3,1,1.0,1,0,1.0,0.0,0.0,1,社区3:1
LE572961,通过期待的市场波动取得经济利益,Influence,否,Influence,9,3,2.85,3,0,2.85,0.0,0.0,3,社区9:3
LE937397,第五十条,Section,否,Section,5,1,0.2,1,0,0.2,0.0,0.0,1,社区5:1
LE155013,自己名义开设的实名账户,Account,否,Account,3,1,0.15,1,0,0.15,0.0,0.0,1,社区3:1
LE446536,抢帽子交易操纵,Means,是,Means,9,7,6.95,6,1,6.0,0.95,0.0,7,社区3:1; 社区9:6
LE197238,第三十七条,Section,否,Section,9,6,0.95,1,5,0.2,0.75,0.0,6,社区3:2; 社区9:4
LE572836,管理人,Actor,否,Actor,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE957760,第二十九条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE497757,买卖或者持有相关证券,Means,是,Means,9,5,4.95,4,1,4.0,0.95,0.0,5,社区9:5
LE516681,第一条,Section,否,Section,5,1,0.2,1,0,0.2,0.0,0.0,1,社区5:1
LE609103,证券监管机关,RegulatoryAuthority,否,RegulatoryAuthority,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE164798,第十条,Section,否,Section,5,2,0.35,1,1,0.2,0.15,0.0,2,社区5:2
LE701236,第二十三条,Section,否,Section,3,1,0.2,1,0,0.2,0.0,0.0,1,社区3:1
LE531933,以低于市价的价格发出卖出申报,Means,是,Means,3,4,3.85,1,3,1.0,2.85,0.0,4,社区3:4
LE776661,利用人,Actor,否,Actor,5,2,0.3,1,1,0.15,0.15,0.0,2,社区5:2
LE252922,对该证券或其发行人、上市公司公开做出评价、预测或者投资建议,Means,是,Means,9,5,4.95,4,1,4.0,0.95,0.0,5,社区9:5
LE273397,诱导投资者在不了解事实真相的情况下做出投资决定,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE216398,利用不真实、不准确、不完整或不确定的重大信息的行为,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE982273,第一章,Chapter,否,Chapter,5,5,1.0,1,4,0.2,0.8,0.0,5,社区5:5
LE424259,上市公司,Actor,否,Actor,5,4,2.45,2,2,0.45,2.0,0.0315,4,社区5:4
LE616526,社会团体,Actor,否,Actor,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE560471,第二十一条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE705949,连续、交替进行3次以上的申报和撤销申报,Means,是,Means,3,1,1.0,1,0,1.0,0.0,0.0,1,社区3:1
LE841936,第六章,Chapter,否,Chapter,5,2,0.4,1,1,0.2,0.2,0.0,2,社区5:2
LE905579,第二十八条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE918199,第五条,Section,否,Section,5,11,1.7,1,10,0.2,1.5,0.0,11,社区5:11
LE349998,公司,Actor,否,Actor,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE051929,个人,Actor,否,Actor,5,3,1.3,2,1,0.3,1.0,0.0,3,社区5:3
LE549841,第二章,Chapter,否,Chapter,5,9,1.8,1,8,0.2,1.6,0.0,9,社区5:9
LE114217,盗用单位名义操纵证券市场,Means,是,Means,5,1,1.0,1,0,1.0,0.0,0.0,1,社区5:1
LE757188,不正当手段,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE850611,影响证券交易价格或者证券交易量,Influence,否,Influence,3,8,7.6,8,0,7.6,0.0,0.0,8,社区3:7; 社区8:1
LE322279,证券执法人员,RegulatoryAuthority,否,RegulatoryAuthority,3,2,0.45,1,1,0.15,0.3,0.189,2,社区3:2
LE370660,特定时间的价格或价值操纵,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE134587,第二十四条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE319262,其他直接责任人员,Actor,否,Actor,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE117645,第十七条,Section,否,Section,3,3,0.5,1,2,0.2,0.3,0.063,3,社区3:3
LE456227,第二十五条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:1; 社区8:1
LE804705,第三十三条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE055513,第三十九条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE512505,2个以上行为人,Actor,否,Actor,8,9,4.75,2,7,0.3,4.45,0.1306,9,社区3:1; 社区8:8
LE845404,单位,Actor,否,Actor,5,3,0.45,3,0,0.45,0.0,0.0,3,社区5:3
LE873875,第二十七条,Section,否,Section,3,1,0.2,1,0,0.2,0.0,0.0,1,社区3:1
LE030990,第三十八条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE904779,证券交易所,RegulatoryAuthority,否,RegulatoryAuthority,2,27,12.3,8,19,1.2,11.1,0.0652,27,社区2:17; 社区3:3; 社区5:2; 社区7:5
LE649389,利用不真实、不准确、不完整或不确定的重大信息,Means,是,Means,3,3,2.9,1,2,1.0,1.9,0.0,3,社区3:3
LE366563,影响相关证券的参考价格或者结算价格或者参考价值,Influence,否,Influence,3,2,1.9,2,0,1.9,0.0,0.0,2,社区3:2
LE155720,编造、传播或者散布不真实、不准确、不完整或不确定的重大信息之前买入或卖出相关证券,Means,是,Means,3,1,1.0,1,0,1.0,0.0,0.0,1,社区3:1
LE026558,第五十三条,Section,否,Section,5,2,0.35,1,1,0.2,0.15,0.0,2,社区5:2
LE232971,致使证券交易价格下跌,Influence,否,Influence,3,4,3.8,4,0,3.8,0.0,0.0,4,社区3:4
LE847802,连续买卖证券,Means,是,Means,8,7,6.75,2,5,2.0,4.75,0.1492,7,社区8:7
LE105707,证券监管机构,RegulatoryAuthority,否,RegulatoryAuthority,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE422805,第三章,Chapter,否,Chapter,3,36,7.2,1,35,0.2,7.0,0.0,36,社区3:31; 社区5:1; 社区8:1; 社区9:3
LE287356,影响证券收市价格,Influence,否,Influence,3,2,1.9,2,0,1.9,0.0,0.0,2,社区3:2
LE331623,致使证券交易价格形成虚拟的价格水平,Influence,否,Influence,3,4,3.8,4,0,3.8,0.0,0.0,4,社区3:4
LE098964,持股优势,Advantage,否,Advantage,8,8,4.4,8,0,4.4,0.0,0.1119,8,社区3:2; 社区8:6
LE499673,第三十五条,Section,否,Section,9,5,0.8,1,4,0.2,0.6,0.0,5,社区3:1; 社区9:4
LE413748,第五十六条,Section,否,Section,5,2,0.35,1,1,0.2,0.15,0.0,2,社区5:2
LE378959,尾市交易操纵,Means,是,Means,3,3,2.9,1,2,1.0,1.9,0.0,3,社区3:3
LE512269,第十四条,Section,否,Section,3,4,0.65,1,3,0.2,0.45,0.063,4,社区2:1; 社区3:2; 社区5:1
LE807126,机关,Actor,否,Actor,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE681775,联合买卖证券,Means,是,Means,8,7,6.75,2,5,2.0,4.75,0.1492,7,社区8:7
LE483909,锁定手段,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE919426,第五十二条,Section,否,Section,5,2,0.35,1,1,0.2,0.15,0.0,2,社区5:2
LE295735,事业单位,Actor,否,Actor,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE325409,在自己实际控制的账户之间进行证券交易,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE489345,信息优势,Advantage,否,Advantage,8,7,4.25,7,0,4.25,0.0,0.1492,7,社区3:1; 社区8:6
LE212954,通过发出买入或者卖出申报,Means,是,Means,3,4,3.85,1,3,1.0,2.85,0.0,4,社区3:4
LE133846,约定交易操纵,Means,是,Means,3,1,0.95,0,1,0.0,0.95,0.0,1,社区3:1
LE628964,影响特定时间的价格或价值,Influence,否,Influence,3,1,0.95,1,0,0.95,0.0,0.0,1,社区3:1
LE171749,第三十二条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE560089,其工作人员,Actor,否,Actor,9,3,1.3,2,1,0.3,1.0,0.0,3,社区9:3
LE674827,拉抬,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE053666,联合或者连续买卖,Means,是,Means,8,4,3.8,0,4,0.0,3.8,0.0,4,社区8:4
LE440505,联合买卖,Means,是,Means,3,1,1.0,1,0,1.0,0.0,0.0,1,社区3:1
LE290868,连续买卖,Means,是,Means,3,1,1.0,1,0,1.0,0.0,0.0,1,社区3:1
LE910115,第十二条,Section,否,Section,5,3,0.5,1,2,0.2,0.3,0.0,3,社区5:3
LE823345,第八章,Chapter,否,Chapter,5,2,0.4,1,1,0.2,0.2,0.0,2,社区5:2
LE926868,第九条,Section,否,Section,5,2,0.35,1,1,0.2,0.15,0.0,2,社区5:2
LE703500,操纵证券收市价格,Influence,否,Influence,3,4,3.8,4,0,3.8,0.0,0.0,4,社区3:4
LE144758,工作人员,Actor,否,Actor,9,4,3.15,1,3,0.15,3.0,0.0,4,社区9:4
LE050288,利用他人账户,Account,否,Account,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE400985,行为人,Actor,否,Actor,3,67,38.55,28,39,4.65,33.9,0.0005,67,社区2:1; 社区3:57; 社区5:4; 社区8:3; 社区9:2
LE093957,非法人组织,Actor,否,Actor,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE730128,蛊惑交易操纵,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE383719,第四章,Chapter,否,Chapter,5,2,0.4,1,1,0.2,0.2,0.0,2,社区5:2
LE759048,任何人,Actor,否,Actor,5,1,0.15,1,0,0.15,0.0,0.0,1,社区5:1
LE379370,《证券法》,Law,否,Law,5,2,0.3,2,0,0.3,0.0,0.0,2,社区2:1; 社区5:1
LE294394,与他人串通,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE660677,在编造、传播或者散布不真实、不准确、不完整或不确定的重大信息之前或者之后进行证券交易,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE017673,第四十八条,Section,否,Section,5,5,0.8,1,4,0.2,0.6,0.0567,5,社区5:5
LE103321,影响证券交易价格或证券交易量,Influence,否,Influence,8,3,2.85,3,0,2.85,0.0,0.0,3,社区8:3
LE145403,频繁申报和撤销申报,Means,是,Means,3,1,1.0,1,0,1.0,0.0,0.0,1,社区3:1
LE053323,以高于市价的价格发出买入申报,Means,是,Means,3,4,3.85,1,3,1.0,2.85,0.0,4,社区3:4
LE099951,能够对证券市场上一般投资者的投资决策产生影响,Influence,否,Influence,3,2,1.9,2,0,1.9,0.0,0.0,2,社区3:2
LE313404,频繁申报和撤销申报的行为,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
LE440226,第二十六条,Section,否,Section,3,1,0.2,1,0,0.2,0.0,0.0,1,社区3:1
LE511393,第十五条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE683388,第四十七条,Section,否,Section,3,2,0.35,1,1,0.2,0.15,0.0,2,社区3:2
LE913923,虚假申报操纵,Means,是,Means,3,2,1.95,1,1,1.0,0.95,0.0,2,社区3:2
